No,Kode Paket,Kode Provinsi,Kode Kabupaten,Sumber Dana,Kategori,Tahun Anggaran,Evaluasi,Penilaian
46,4343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
47,4349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
48,4365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
49,4387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
50,4434,Sumatera Selatan,Lahat (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,14,Buruk
51,4436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
52,5173,Sulawesi Utara,Manado (Kota),APBD,Pengadaan Barang,2012,18,Sangat Buruk
53,5180,Sulawesi Utara,Kotamobagu (Kota),Pinjaman/Hibah Luar Negeri,Pengadaan Barang,2012,13,Buruk
54,5270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
55,5282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
56,5311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
57,5315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
58,5329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
59,5343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
60,5344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
61,5349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
62,5356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Lainnya,2012,15,Sangat Buruk
63,5365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pengadaan Barang,2012,13,Buruk
64,5406,Sulawesi Utara,Minahasa (Kab.),APBN,Pekerjaan Konstruksi,2012,9,Baik
65,5495,Kepulauan Riau,Bintan (Kab.),APBD,Jasa Lainnya,2012,9,Baik
66,6173,Sulawesi Utara,Manado (Kota),APBD,Pengadaan Barang,2012,18,Sangat Buruk
67,6180,Sulawesi Utara,Kotamobagu (Kota),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
68,6195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Pengadaan Barang,2012,13,Buruk
69,6221,Sumatera Selatan,Prabumulih (Kota),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
70,6315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
71,6329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,13,Buruk
72,6343,Sumatera Selatan,Ogan Komering Ulu Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
73,6344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
74,6349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
75,6355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Lainnya,2012,12,Buruk
76,6356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,14,Buruk
77,6365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Pengadaan Barang,2012,16,Sangat Buruk
78,6387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
79,6406,Sulawesi Utara,Minahasa (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
80,6427,Kalimantan Selatan,Kota Baru (Kab.),APBN,Jasa Konsultansi,2012,13,Buruk
81,6434,Sumatera Selatan,Lahat (Kab.),Gabungan APBN dan APBD,Pekerjaan Konstruksi,2012,13,Buruk
82,6447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
83,7102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
84,7270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
85,7282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
86,7329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,14,Buruk
87,7344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
88,7349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
89,7355,Kepulauan Riau,Natuna (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
90,7356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,9,Baik
91,7365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Lainnya,2012,14,Buruk
92,7387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
93,7406,Sulawesi Utara,Minahasa (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
94,7434,Sumatera Selatan,Lahat (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,13,Buruk
95,7447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
96,7495,Kepulauan Riau,Bintan (Kab.),APBN,Pengadaan Barang,2012,10,Baik
97,8168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Jasa Lainnya,2012,16,Sangat Buruk
98,8173,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,13,Buruk
99,8195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Jasa Lainnya,2012,14,Buruk
100,8270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pengadaan Barang,2012,16,Sangat Buruk
101,8282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
102,8294,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Kab.),APBD,Jasa Konsultansi,2012,13,Buruk
103,8317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
104,8329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
105,8344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
106,8349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
107,8355,Kepulauan Riau,Natuna (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
108,8356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,15,Sangat Buruk
109,8357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
110,8365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Lainnya,2012,13,Buruk
111,8387,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,15,Sangat Buruk
112,8402,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,13,Buruk
113,8406,Sulawesi Utara,Minahasa (Kab.),APBN,Pengadaan Barang,2012,15,Sangat Buruk
114,8427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
115,8447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
116,8465,Sumatera Selatan,Palembang (Kota),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
117,8495,Kepulauan Riau,Bintan (Kab.),APBD,Jasa Lainnya,2012,16,Sangat Buruk
118,9102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,11,Buruk
119,9168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Jasa Lainnya,2012,16,Sangat Buruk
120,9221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,13,Buruk
121,9282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
122,9311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
123,9317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
124,9329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,11,Buruk
125,9356,Sumatera Selatan,Palembang (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
126,9365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Lainnya,2012,13,Buruk
127,9387,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,10,Baik
128,9402,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,12,Buruk
129,9406,Sulawesi Utara,Minahasa (Kab.),APBN,Pekerjaan Konstruksi,2012,14,Buruk
130,9427,Kalimantan Selatan,Kota Baru (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,17,Sangat Buruk
131,9434,Sumatera Selatan,Lahat (Kab.),Gabungan APBN dan APBD,Pekerjaan Konstruksi,2012,13,Buruk
132,9447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,13,Buruk
133,9465,Sumatera Selatan,Palembang (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
134,9495,Kepulauan Riau,Bintan (Kab.),APBD,Jasa Lainnya,2012,10,Baik
135,10102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,15,Sangat Buruk
136,10168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Jasa Lainnya,2012,16,Sangat Buruk
137,10173,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,14,Buruk
138,10195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
139,10221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
140,10282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
141,10311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
142,10315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
143,10329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
144,10349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,11,Buruk
145,10356,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,17,Sangat Buruk
146,10357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,15,Sangat Buruk
147,10365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Lainnya,2012,12,Buruk
148,10387,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,10,Baik
149,10402,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,19,Sangat Buruk
150,10436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
151,10447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,10,Baik
152,10475,Sulawesi Utara,Bolaang Mengondow (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,14,Buruk
153,10495,Kepulauan Riau,Bintan (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
154,11102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,12,Buruk
155,11168,Sumatera Selatan,Musi Banyu Asin (Kab.),APBN,Jasa Lainnya,2012,16,Sangat Buruk
156,11173,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,16,Sangat Buruk
157,11195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Jasa Konsultansi,2012,15,Sangat Buruk
158,11270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
159,11282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
160,11311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
161,11315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
162,11329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,14,Buruk
163,11349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,12,Buruk
164,11356,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,16,Sangat Buruk
165,11357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,17,Sangat Buruk
166,11365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Lainnya,2012,13,Buruk
167,11387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
168,11427,Kalimantan Selatan,Kota Baru (Kab.),APBD,Pengadaan Barang,2012,17,Sangat Buruk
169,11436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
170,11447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Jasa Lainnya,2012,10,Baik
171,11475,Sulawesi Utara,Bolaang Mengondow (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,15,Sangat Buruk
172,11495,Kepulauan Riau,Bintan (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
173,12102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,18,Sangat Buruk
174,12173,Sulawesi Utara,Manado (Kota),APBN,Pengadaan Barang,2012,13,Buruk
175,12221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Konsultansi,2012,14,Buruk
176,12251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Lainnya,2012,8,Baik
177,12270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,19,Sangat Buruk
178,12282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Jasa Konsultansi,2012,14,Buruk
179,12284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
180,12311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
181,12329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
182,12349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,10,Baik
183,12355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Lainnya,2012,13,Buruk
184,12356,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,14,Buruk
185,12402,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,15,Sangat Buruk
186,12406,Sulawesi Utara,Minahasa (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
187,12427,Kalimantan Selatan,Kota Baru (Kab.),Gabungan APBN dan APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
188,12436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,12,Buruk
189,12475,Sulawesi Utara,Bolaang Mengondow (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,11,Buruk
190,12495,Kepulauan Riau,Bintan (Kab.),APBD,Pekerjaan Konstruksi,2012,18,Sangat Buruk
191,13102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,12,Buruk
192,13195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Jasa Lainnya,2012,12,Buruk
193,13221,Sumatera Selatan,Prabumulih (Kota),APBD,Jasa Konsultansi,2012,14,Buruk
194,13251,Sumatera Selatan,Palembang (Kota),APBD,Pekerjaan Konstruksi,2012,14,Buruk
195,13270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
196,13282,Kalimantan Selatan,Hulu Sungai Selatan (Kab.),APBD,Pengadaan Barang,2012,12,Buruk
197,13284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
198,13311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
199,13315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,12,Buruk
200,13329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,13,Buruk
201,13344,Sulawesi Utara,Bolaang Mongondow Utara (Kab.),APBN,Pengadaan Barang,2012,16,Sangat Buruk
202,13349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,13,Buruk
203,13355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Konsultansi,2012,16,Sangat Buruk
204,13356,Sumatera Selatan,Palembang (Kota),APBN,Pengadaan Barang,2012,12,Buruk
205,13357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
206,13365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Konsultansi,2012,13,Buruk
207,13406,Sulawesi Utara,Minahasa (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
208,13427,Kalimantan Selatan,Kota Baru (Kab.),Gabungan APBN dan APBD,Pekerjaan Konstruksi,2012,14,Buruk
209,13434,Sumatera Selatan,Lahat (Kab.),APBD,Pengadaan Barang,2012,13,Buruk
210,13436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,13,Buruk
211,13447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,14,Buruk
212,13475,Sulawesi Utara,Bolaang Mengondow (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,14,Buruk
213,13495,Kepulauan Riau,Bintan (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
214,14102,Sumatera Selatan,Prabumulih (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
215,14173,Sulawesi Utara,Manado (Kota),APBN,Jasa Konsultansi,2012,16,Sangat Buruk
216,14195,Sumatera Selatan,Lubuk Linggau (Kota),APBN,Pekerjaan Konstruksi,2012,14,Buruk
217,14251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Lainnya,2012,10,Baik
218,14270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
219,14284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBD,Pengadaan Barang,2012,16,Sangat Buruk
220,14311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
221,14315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,11,Buruk
222,14329,Sulawesi Utara,Bitung (Kota),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
223,14349,Sulawesi Utara,Manado (Kota),APBD,Pekerjaan Konstruksi,2012,13,Buruk
224,14355,Kepulauan Riau,Natuna (Kab.),APBD,Jasa Lainnya,2012,7,Baik
225,14356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,9,Baik
226,14357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,18,Sangat Buruk
227,14365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Konsultansi,2012,16,Sangat Buruk
228,14387,Sulawesi Utara,Manado (Kota),APBN,Pekerjaan Konstruksi,2012,19,Sangat Buruk
229,14402,Sumatera Selatan,Palembang (Kota),APBN,Pekerjaan Konstruksi,2012,17,Sangat Buruk
230,14434,Sumatera Selatan,Lahat (Kab.),Gabungan APBN dan APBD,Pekerjaan Konstruksi,2012,12,Buruk
231,14436,Sulawesi Utara,Minahasa Selatan (Kab.),APBN,Pekerjaan Konstruksi,2012,11,Buruk
232,14447,Sumatera Selatan,Ogan Komering Ulu Timur (Kab.),APBD,Pekerjaan Konstruksi,2012,15,Sangat Buruk
233,14475,Sulawesi Utara,Bolaang Mengondow (Kab.),Gabungan APBN dan APBD,Pengadaan Barang,2012,14,Buruk
234,14495,Kepulauan Riau,Bintan (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
235,15221,Sumatera Selatan,Prabumulih (Kota),APBD,Pengadaan Barang,2012,9,Baik
236,15251,Sumatera Selatan,Palembang (Kota),APBD,Jasa Lainnya,2012,10,Baik
237,15270,Kalimantan Selatan,Barito Kuala (Kab.),APBD,Pekerjaan Konstruksi,2012,17,Sangat Buruk
238,15284,Sulawesi Utara,Minahasa Tenggara (Kab.),APBD,Pengadaan Barang,2012,14,Buruk
239,15311,Sumatera Selatan,Musi Rawas (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
240,15315,Kalimantan Selatan,Hulu Sungai Tengah (Kab.),APBD,Pekerjaan Konstruksi,2012,10,Baik
241,15317,Kalimantan Selatan,Tanah Bumbu (Kab.),APBD,Pekerjaan Konstruksi,2012,16,Sangat Buruk
242,15349,Sulawesi Utara,Manado (Kota),APBD,Pengadaan Barang,2012,15,Sangat Buruk
243,15356,Sumatera Selatan,Palembang (Kota),APBN,Jasa Konsultansi,2012,9,Baik
244,15357,Sumatera Selatan,Ogan Ilir (Kab.),APBD,Pengadaan Barang,2012,13,Buruk
245,15365,Kepulauan Riau,Kepulauan Anambas (Kab.),APBD,Jasa Konsultansi,2012,13,Buruk
